   <= x < -100,95
 -100 <= x < -95,8336
 -95 <= x < -90,41110
 -90 <= x < -85,75815
 -85 <= x < -80,65920
 -80 <= x < -75,45538
 -75 <= x < -70,39814
 -70 <= x < -65,27108
 -65 <= x < -60,20013
 -60 <= x < -55,13284
 -55 <= x < -50,9306
 -50 <= x < -45,6177
 -45 <= x < -40,3687
 -40 <= x < -35,1425
 -35 <= x < -30,331
 -30 <= x < -25,54
 -25 <= x < -20,12
 -20 <= x < -15,245
 -15 <= x < -10,242
 -10 <= x < 0,27
 -5 <= x < 0,87
